"","X","ZCTA5CE10","mean_nitrate","well_type","well_count"
"15",15,95669,2.56457142857143,"DOMESTIC",7
"18",18,95901,0.19812,"DOMESTIC",25
"39",39,93608,79,"DOMESTIC",1
"45",45,93630,5.36761,"DOMESTIC",100
"50",50,93646,24.9088235294118,"DOMESTIC",17
"60",60,93616,9.59147619047619,"DOMESTIC",21
"64",64,95503,2.99,"DOMESTIC",1
"76",76,93527,0.6405,"DOMESTIC",2
"81",81,93308,7.2,"DOMESTIC",2
"85",85,93311,0.846833333333333,"DOMESTIC",6
"97",97,93245,1.1675,"DOMESTIC",48
"108",108,95485,3.81,"DOMESTIC",1
"185",185,93550,0.223,"DOMESTIC",1
"199",199,95428,0.140666666666667,"DOMESTIC",3
"203",203,95425,0.4576,"DOMESTIC",5
"211",211,95301,10.9562608695652,"DOMESTIC",46
"222",222,93907,19.2985471698113,"DOMESTIC",53
"271",271,92240,1.5525,"DOMESTIC",4
"281",281,92282,1.0815,"DOMESTIC",2
"293",293,92324,10.4,"DOMESTIC",1
"298",298,95843,1.24,"DOMESTIC",1
"303",303,95864,0.593,"DOMESTIC",1
"357",357,95686,0.451363636363636,"DOMESTIC",11
"360",360,95242,7.52778888888889,"DOMESTIC",90
"364",364,95240,3.48065555555556,"DOMESTIC",90
"367",367,95320,8.86069230769231,"DOMESTIC",65
"370",370,93405,6.23185714285714,"DOMESTIC",14
"385",385,94019,0.07,"DOMESTIC",1
"407",407,95073,0.581222222222222,"DOMESTIC",9
"421",421,96069,0.594,"DOMESTIC",1
"437",437,95441,0.04,"DOMESTIC",1
"440",440,95448,0.2035,"DOMESTIC",8
"446",446,95405,0.04,"DOMESTIC",1
"449",449,95407,3.89866666666667,"DOMESTIC",3
"452",452,95476,0.928,"DOMESTIC",4
"463",463,95313,8.8302380952381,"DOMESTIC",21
"472",472,96055,1.96943902439024,"DOMESTIC",82
"500",500,95616,19.45,"DOMESTIC",2
"519",519,95969,1.3765,"DOMESTIC",2
"526",526,95948,4.0345,"DOMESTIC",2
"533",533,95252,2.90666666666667,"DOMESTIC",3
"554",554,93660,0.623838709677419,"DOMESTIC",31
"559",559,93611,2.8,"DOMESTIC",1
"562",562,93706,8.74325714285714,"DOMESTIC",175
"567",567,93618,11.9473153153153,"DOMESTIC",111
"572",572,93622,4.895,"DOMESTIC",10
"581",581,93620,0.121863636363636,"DOMESTIC",22
"585",585,93656,2.23327777777778,"DOMESTIC",36
"616",616,93307,5.14407692307692,"DOMESTIC",13
"623",623,93561,3.115,"DOMESTIC",2
"628",628,93461,6.63347826086957,"DOMESTIC",23
"645",645,96056,0.8795,"DOMESTIC",4
"705",705,93614,0.793,"DOMESTIC",1
"723",723,93923,0.355,"DOMESTIC",2
"727",727,93901,11.8140833333333,"DOMESTIC",12
