"","ZCTA5CE10","mean_nitrate","well_count"
"1","94601",NA,1
"2","94501",0.099,3
"3","94560",0.6882,15
"4","94587",11.3904347826087,23
"5","94580",0.500047619047619,21
"6","94514",4.40275,20
"7","94703",NA,1
"8","95601",NA,1
"9","95669",1.31222807017544,57
"10","95901",1.57216756756757,185
"11","95974",0.7156,5
"12","95914",NA,1
"13","95246",0.51175,4
"14","95979",0.2795,14
"15","94549",0.557,1
"16","94595",NA,1
"17","94506",5.22122222222222,9
"18","94806",NA,1
"19","94801",NA,1
"20","94803",NA,1
"21","94553",0.416,1
"22","94530",NA,1
"23","94572",NA,1
"24","95567",1.8948,20
"25","93608",4.68756557377049,122
"26","93612",4.265,45
"27","93630",3.55493506493506,231
"28","93606",4.109,2
"29","93646",15.7318771929825,57
"30","93664",0.681102564102564,117
"31","93703",3.78394915254237,59
"32","93234",1.77406153846154,65
"33","93616",5.85329411764706,51
"34","95503",1.3676,25
"35","95554",0.2884,5
"36","95560",0.34275,4
"37","95524",0.422,7
"38","92243",NA,1
"39","93526",0.365733333333333,30
"40","93527",2.20837362637363,91
"41","93305",0.4104,50
"42","93308",3.29718077803204,437
"43","93311",1.74257037037037,270
"44","93220",3.84668,25
"45","93518",3.3326875,16
"46","93251",2.04829166666667,24
"47","93226",3.09933333333333,9
"48","93245",2.21652121212121,165
"49","93266",4.48092592592593,54
"50","93202",0.5444,5
"51","95485",0.59,42
"52","96130",2.30653793103448,145
"53","96109",3.12228125,32
"54","96123",1.46331578947368,19
"55","91504",8.31125,4
"56","91606",8.08619047619048,21
"57","90640",1.6698,75
"58","91770",3.29533333333333,57
"59","93535",0.928081218274112,197
"60","90290",2.8415,2
"61","91792",6.59114285714286,7
"62","91789",7.27234482758621,29
"63","91791",8.30757894736842,19
"64","91723",13.3665,4
"65","91773",11.991,15
"66","91702",3.7734347826087,69
"67","91741",9.06846666666667,15
"68","91765",2.758,3
"69","90303",0.0831034482758621,29
"70","90033",NA,1
"71","90032",NA,1
"72","90249",0.183222222222222,9
"73","90822",0.193,1
"74","91355",3.44394339622642,53
"75","91350",3.44898181818182,55
"76","91387",2.67422807017544,57
"77","91001",4.161,28
"78","91604",7.505,1
"79","91402",NA,1
"80","91030",13.172,1
"81","91108",6.3570625,16
"82","90062",6.98369230769231,13
"83","90293",1.85111111111111,9
"84","90292",9.822875,16
"85","90003",0.7211875,16
"86","90056",0.06,2
"87","90732",0.468333333333333,3
"88","90716",0.192,16
"89","90805",0.226452830188679,53
"90","90402",4.19833333333333,3
"91","90010",NA,1
"92","90073",4.3,1
"93","91040",4.84736363636364,11
"94","90403",NA,1
"95","93550",0.736789473684211,95
"96","92397",2.5702,25
"97","91732",2.7237962962963,54
"98","91731",3.19085294117647,34
"99","94949",NA,1
"100","94939",NA,1
"101","95306",4.25877777777778,9
"102","95428",0.536073170731707,41
"103","95429",0.2,1
"104","95425",0.961666666666667,57
"105","95449",0.4501,20
"106","95456",0.849,12
"107","95432",0.450333333333333,3
"108","95301",6.7831724137931,145
"109","96134",0.517404255319149,47
"110","96054",3.82965,20
"111","93517",0.538333333333333,27
"112","89010",2.06666666666667,3
"113","93907",6.93654394299287,421
"114","93953",NA,1
"115","94567",0.255,2
"116","94599",0.18625,4
"117","94576",0.6488,5
