"","ZCTA5CE10","mean_nitrate","well_type","well_count"
"1","94601",NA,NA,1
"2","94501",0.185,"IRRIGATION / INDUSTRIAL",1
"3","94501",0.056,"WATER SUPPLY, OTHER",2
"4","94560",0.925666666666667,"MUNICIPAL",9
"5","94560",0.332,"WATER SUPPLY, OTHER",6
"6","94587",4.94266666666667,"MONITORING",3
"7","94587",12.3576,"WATER SUPPLY, OTHER",20
"8","94580",0.11,"MONITORING",6
"9","94580",0.656066666666667,"WATER SUPPLY, OTHER",15
"10","94514",10.7833333333333,"DOMESTIC",3
"11","94514",4.00483333333333,"MUNICIPAL",12
"12","94514",1.5294,"WATER SUPPLY, OTHER",5
"13","94703",NA,NA,1
"14","95601",NA,NA,1
"15","95669",2.56457142857143,"DOMESTIC",7
"16","95669",0.708634146341463,"MUNICIPAL",41
"17","95669",3.08788888888889,"WATER SUPPLY, OTHER",9
"18","95901",0.19812,"DOMESTIC",25
"19","95901",1.55816129032258,"MUNICIPAL",62
"20","95901",1.93155102040816,"WATER SUPPLY, OTHER",98
"21","95974",1.83,"MONITORING",1
"22","95974",0.437,"WATER SUPPLY, OTHER",4
"23","95914",NA,NA,1
"24","95246",0.51175,"MUNICIPAL",4
"25","95979",0.341545454545455,"MUNICIPAL",11
"26","95979",0.052,"WATER SUPPLY, OTHER",3
"27","94549",0.557,"MUNICIPAL",1
"28","94595",NA,NA,1
"29","94506",1.045,"MUNICIPAL",1
"30","94506",5.74325,"WATER SUPPLY, OTHER",8
"31","94806",NA,NA,1
"32","94801",NA,NA,1
"33","94803",NA,NA,1
"34","94553",0.416,"MUNICIPAL",1
"35","94530",NA,NA,1
"36","94572",NA,NA,1
"37","95567",2.05633333333333,"MUNICIPAL",3
"38","95567",1.86629411764706,"WATER SUPPLY, OTHER",17
"39","93608",79,"DOMESTIC",1
"40","93608",0.039,"IRRIGATION / INDUSTRIAL",1
"41","93608",0.583,"MUNICIPAL",2
"42","93608",4.16676271186441,"WATER SUPPLY, OTHER",118
"43","93612",4.11354545454545,"MUNICIPAL",33
"44","93612",4.6815,"WATER SUPPLY, OTHER",12
"45","93630",5.36761,"DOMESTIC",100
"46","93630",3.8335,"IRRIGATION / INDUSTRIAL",2
"47","93630",3.7853,"MUNICIPAL",30
"48","93630",1.64851515151515,"WATER SUPPLY, OTHER",99
"49","93606",4.109,"MUNICIPAL",2
"50","93646",24.9088235294118,"DOMESTIC",17
"51","93646",15.9006363636364,"MUNICIPAL",11
"52","93646",10.288275862069,"WATER SUPPLY, OTHER",29
"53","93664",0.581666666666667,"MUNICIPAL",108
