"","STATEFP10","ZCTA5CE10","GEOID10","CLASSFP10","MTFCC10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","PARTFLG10","in_Central_Valley"
"1","06","94601","0694601","B5","G6350","S",8410939,310703,"+37.7755447","-122.2187049","N",NA
"2","06","94501","0694501","B5","G6350","S",20539466,9005303,"+37.7737968","-122.2781230","N",NA
"3","06","94560","0694560","B5","G6350","S",35757865,60530,"+37.5041413","-122.0323587","N",NA
"4","06","94587","0694587","B5","G6350","S",51075108,0,"+37.6031556","-122.0186382","N",NA
"5","06","94580","0694580","B5","G6350","S",8929836,17052,"+37.6757312","-122.1330170","N",NA
"6","06","94514","0694514","B5","G6350","S",74350346,453950,"+37.8263717","-121.6225460","N",NA
"7","06","94703","0694703","B5","G6350","S",3460814,0,"+37.8639059","-122.2756401","N",NA
"8","06","95601","0695601","B5","G6350","S",4538018,26631,"+38.4266990","-120.8257170","N",NA
"9","06","95669","0695669","B5","G6350","S",228749899,203331,"+38.4826191","-120.8994719","N",NA
"10","06","95901","0695901","B5","G6350","S",509066137,4141361,"+39.2239387","-121.4940499","N",NA
"11","06","95974","0695974","B5","G6350","S",21744218,0,"+39.4802215","-121.8384537","N","central_valley"
"12","06","95914","0695914","B5","G6350","S",37956907,0,"+39.4490050","-121.3305213","N",NA
"13","06","95246","0695246","B5","G6350","S",135101285,145409,"+38.2328452","-120.5156370","N",NA
"14","06","95979","0695979","B5","G6350","S",736641676,7239187,"+39.3020405","-122.5111178","N",NA
"15","06","94549","0694549","B5","G6350","S",49746404,431202,"+37.8970087","-122.1142919","N",NA
"16","06","94595","0694595","B5","G6350","S",13930717,0,"+37.8719531","-122.0693857","N",NA
"17","06","94506","0694506","B5","G6350","S",48664719,25221,"+37.8094176","-121.9129288","N",NA
"18","06","94806","0694806","B5","G6350","S",21583495,594264,"+37.9807900","-122.3376270","N",NA
"19","06","94801","0694801","B5","G6350","S",29210775,16481976,"+37.9528435","-122.3819735","N",NA
"20","06","94803","0694803","B5","G6350","S",30223793,0,"+37.9595400","-122.2835546","N",NA
"21","06","94553","0694553","B5","G6350","S",126758554,6689742,"+37.9938923","-122.1364409","N",NA
"22","06","94530","0694530","B5","G6350","S",12506021,0,"+37.9215524","-122.2983473","N",NA
"23","06","94572","0694572","B5","G6350","S",11244845,2291474,"+38.0327194","-122.2522475","N",NA
"24","06","95567","0695567","B5","G6350","S",162006946,10304104,"+41.9506833","-124.0970936","N",NA
"25","06","93608","0693608","B5","G6350","S",282247651,874109,"+36.4938614","-120.3616223","N",NA
"26","06","93612","0693612","B5","G6350","S",17132668,0,"+36.8148634","-119.7105950","N","central_valley"
"27","06","93630","0693630","B5","G6350","S",403278744,2911702,"+36.7274184","-120.1235263","N","central_valley"
"28","06","93606","0693606","B5","G6350","S",388723,0,"+36.8032077","-120.0185498","N","central_valley"
"29","06","93646","0693646","B5","G6350","S",110351230,0,"+36.6447370","-119.2891814","N",NA
"30","06","93664","0693664","B5","G6350","S",496537450,8850044,"+37.1293207","-119.2195395","N",NA
"31","06","93703","0693703","B5","G6350","S",12244599,0,"+36.7688602","-119.7623925","N","central_valley"
"32","06","93234","0693234","B5","G6350","S",207601865,0,"+36.1912690","-120.0900965","N","central_valley"
"33","06","93616","0693616","B5","G6350","S",35932441,0,"+36.6553534","-119.5938614","N","central_valley"
"34","06","95503","0695503","B5","G6350","S",223897953,8286731,"+40.7374308","-124.1088971","N",NA
"35","06","95554","0695554","B5","G6350","S",130018977,479581,"+40.2963463","-123.7771120","N",NA
"36","06","95560","0695560","B5","G6350","S",86279071,149914,"+40.1688013","-123.8261480","N",NA
"37","06","95524","0695524","B5","G6350","S",26988359,26981,"+40.8254857","-124.0494851","N",NA
"38","06","92243","0692243","B5","G6350","S",285619001,163228,"+32.7702746","-115.5986020","N",NA
"39","06","93526","0693526","B5","G6350","S",354621290,887252,"+36.8238465","-118.2812592","N",NA
"40","06","93527","0693527","B5","G6350","S",1412346246,475023,"+36.1199339","-118.1767681","N",NA
"41","06","93305","0693305","B5","G6350","S",15369431,0,"+35.3897487","-118.9851865","N","central_valley"
"42","06","93308","0693308","B5","G6350","S",818459147,1790831,"+35.6210868","-118.7896769","N",NA
"43","06","93311","0693311","B5","G6350","S",438967246,1663418,"+35.1924040","-119.1758655","N","central_valley"
"44","06","93220","0693220","B5","G6350","S",68285734,1428,"+35.4036108","-118.7565253","N",NA
"45","06","93518","0693518","B5","G6350","S",772164845,215880,"+35.3830537","-118.4676507","N",NA
"46","06","93251","0693251","B5","G6350","S",346577918,0,"+35.3356363","-119.7582480","N",NA
"47","06","93226","0693226","B5","G6350","S",242441859,228176,"+35.7356940","-118.7384832","N",NA
"48","06","93245","0693245","B5","G6350","S",305247504,200587,"+36.2922697","-119.8294634","N","central_valley"
"49","06","93266","0693266","B5","G6350","S",144335293,0,"+36.1453935","-119.8672880","N","central_valley"
"50","06","93202","0693202","B5","G6350","S",2008663,0,"+36.3133437","-119.7084522","N","central_valley"
"51","06","95485","0695485","B5","G6350","S",271775618,2551935,"+39.2254776","-122.9229117","N",NA
"52","06","96130","0696130","B5","G6350","S",1242920631,123684378,"+40.5517567","-120.6756729","N",NA
"53","06","96109","0696109","B5","G6350","S",512467549,5151367,"+40.0197146","-120.0991828","N",NA
"54","06","96123","0696123","B5","G6350","S",529518177,6582767,"+40.7281940","-120.3962796","N",NA
"55","06","91504","0691504","B5","G6350","S",12783282,29685,"+34.2045683","-118.3263651","N",NA
"56","06","91606","0691606","B5","G6350","S",8631179,25464,"+34.1857670","-118.3883235","N",NA
"57","06","90640","0690640","B5","G6350","S",21990769,104151,"+34.0154437","-118.1110124","N",NA
"58","06","91770","0691770","B5","G6350","S",16634980,138149,"+34.0654930","-118.0845292","N",NA
"59","06","93535","0693535","B5","G6350","S",667949042,245336,"+34.7136561","-117.8646602","N",NA
"60","06","90290","0690290","B5","G6350","S",51935407,24096,"+34.1077280","-118.6159812","N",NA
"61","06","91792","0691792","B5","G6350","S",9950710,1430,"+34.0225813","-117.9023585","N",NA
"62","06","91789","0691789","B5","G6350","S",40488919,123717,"+34.0183544","-117.8549196","N",NA
"63","06","91791","0691791","B5","G6350","S",17184581,54439,"+34.0616338","-117.8931689","N",NA
"64","06","91723","0691723","B5","G6350","S",6008935,32193,"+34.0847467","-117.8868443","N",NA
"65","06","91773","0691773","B5","G6350","S",37043410,1007454,"+34.1101861","-117.8103898","N",NA
"66","06","91702","0691702","B5","G6350","S",438640351,3940055,"+34.2803329","-117.8661408","N",NA
"67","06","91741","0691741","B5","G6350","S",38377632,383582,"+34.1565295","-117.8416049","N",NA
"68","06","91765","0691765","B5","G6350","S",49001327,13084,"+33.9867752","-117.8209080","N",NA
"69","06","90303","0690303","B5","G6350","S",5745894,46436,"+33.9397662","-118.3310853","N",NA
"70","06","90033","0690033","B5","G6350","S",8461294,74288,"+34.0503802","-118.2119912","N",NA
"71","06","90032","0690032","B5","G6350","S",12347050,28686,"+34.0781950","-118.1854971","N",NA
"72","06","90249","0690249","B5","G6350","S",7712765,79771,"+33.9013900","-118.3156967","N",NA
"73","06","90822","0690822","B5","G6350","S",420836,0,"+33.7784358","-118.1186480","N",NA
"74","06","91355","0691355","B5","G6350","S",40079320,407900,"+34.4397406","-118.6348162","N",NA
"75","06","91350","0691350","B5","G6350","S",43886336,62601,"+34.4408911","-118.5017475","N",NA
"76","06","91387","0691387","B5","G6350","S",128267971,222180,"+34.4024882","-118.3724522","N",NA
"77","06","91001","0691001","B5","G6350","S",21421337,42669,"+34.1952752","-118.1372267","N",NA
"78","06","91604","0691604","B5","G6350","S",13343410,190635,"+34.1390816","-118.3927505","N",NA
"79","06","91402","0691402","B5","G6350","S",9652884,77471,"+34.2225061","-118.4446893","N",NA
"80","06","91030","0691030","B5","G6350","S",8833647,31324,"+34.1089567","-118.1566154","N",NA
"81","06","91108","0691108","B5","G6350","S",9872619,19635,"+34.1226714","-118.1129107","N",NA
"82","06","90062","0690062","B5","G6350","S",5008337,0,"+34.0036377","-118.3088063","N",NA
"83","06","90293","0690293","B5","G6350","S",7420242,3984738,"+33.9473054","-118.4398414","N",NA
"84","06","90292","0690292","B5","G6350","S",5280289,2851541,"+33.9790069","-118.4578521","N",NA
"85","06","90003","0690003","B5","G6350","S",9197642,403,"+33.9641307","-118.2727831","N",NA
"86","06","90056","0690056","B5","G6350","S",4090954,0,"+33.9880465","-118.3703611","N",NA
"87","06","90732","0690732","B5","G6350","S",8903149,957706,"+33.7421204","-118.3128783","N",NA
"88","06","90716","0690716","B5","G6350","S",2411559,27038,"+33.8304566","-118.0726391","N",NA
"89","06","90805","0690805","B5","G6350","S",19085334,428897,"+33.8646171","-118.1805667","N",NA
